ID,Phase,Day,Task,Daily brief file,Phase overview file,Prompt for Codex,Status,Owner,Started (UTC),Completed (UTC),Evidence / PR link,Blockers / notes,Expected outcome
P01-D14,01,14,Publish the Phase 01 baseline handoff,deep-research-phase-plan/phase-01-foundation-baseline/day-14.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-14.md` exactly as written. Your goal is: Publish the Phase 01 baseline handoff. Produce this outcome: A signed-off baseline pack and explicit go/no-go conditions for Phase 02. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A signed-off baseline pack and explicit go/no-go conditions for Phase 02
P02-D01,02,01,Map the current information architecture,deep-research-phase-plan/phase-02-architecture-internal-linking/day-01.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-01.md` exactly as written. Your goal is: Map the current information architecture. Produce this outcome: A page-to-cluster inventory that preserves existing URLs and flags ambiguous ownership. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A page-to-cluster inventory that preserves existing URLs and flags ambiguous ownership
P02-D02,02,02,Define cluster governance,deep-research-phase-plan/phase-02-architecture-internal-linking/day-02.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-02.md` exactly as written. Your goal is: Define cluster governance. Produce this outcome: An approved classification rule for PDF, Developer/Data, Browser/Device, and secondary clusters. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An approved classification rule for PDF, Developer/Data, Browser/Device, and secondary clusters"
P02-D03,02,03,Audit the PDF hub,deep-research-phase-plan/phase-02-architecture-internal-linking/day-03.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-03.md` exactly as written. Your goal is: Audit the PDF hub. Produce this outcome: A concrete PDF hub gap and linking specification. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A concrete PDF hub gap and linking specification
P02-D04,02,04,Audit the Developer/Data hub,deep-research-phase-plan/phase-02-architecture-internal-linking/day-04.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-04.md` exactly as written. Your goal is: Audit the Developer/Data hub. Produce this outcome: A concrete Developer/Data hub gap and linking specification. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A concrete Developer/Data hub gap and linking specification
P02-D05,02,05,Specify the Browser/Device hub,deep-research-phase-plan/phase-02-architecture-internal-linking/day-05.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-05.md` exactly as written. Your goal is: Specify the Browser/Device hub. Produce this outcome: A repository-ready specification for the missing or existing Browser/Device hub without choosing an unverified URL migration. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A repository-ready specification for the missing or existing Browser/Device hub without choosing an unverified URL migration
P02-D06,02,06,Design breadcrumb semantics,deep-research-phase-plan/phase-02-architecture-internal-linking/day-06.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-06.md` exactly as written. Your goal is: Design breadcrumb semantics. Produce this outcome: A page-level breadcrumb map and accessible markup contract. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A page-level breadcrumb map and accessible markup contract
P02-D07,02,07,Build the internal-link graph,deep-research-phase-plan/phase-02-architecture-internal-linking/day-07.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-07.md` exactly as written. Your goal is: Build the internal-link graph. Produce this outcome: A source-target-anchor-purpose matrix for all priority pages. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A source-target-anchor-purpose matrix for all priority pages
P02-D08,02,08,Review homepage positioning,deep-research-phase-plan/phase-02-architecture-internal-linking/day-08.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-08.md` exactly as written. Your goal is: Review homepage positioning. Produce this outcome: An evidence-constrained homepage copy and navigation proposal, not an automatic deployment. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An evidence-constrained homepage copy and navigation proposal, not an automatic deployment"
P02-D09,02,09,Create the URL preservation register,deep-research-phase-plan/phase-02-architecture-internal-linking/day-09.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-09.md` exactly as written. Your goal is: Create the URL preservation register. Produce this outcome: A list of URLs that must not move and an approval checklist for any exception. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A list of URLs that must not move and an approval checklist for any exception
P02-D10,02,10,Specify PDF hub implementation,deep-research-phase-plan/phase-02-architecture-internal-linking/day-10.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-10.md` exactly as written. Your goal is: Specify PDF hub implementation. Produce this outcome: An ordered, file-specific change set for a later coding session. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An ordered, file-specific change set for a later coding session"
P02-D11,02,11,Specify Developer hub implementation,deep-research-phase-plan/phase-02-architecture-internal-linking/day-11.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-11.md` exactly as written. Your goal is: Specify Developer hub implementation. Produce this outcome: An ordered, file-specific change set for a later coding session. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An ordered, file-specific change set for a later coding session"
P02-D12,02,12,Specify Browser hub implementation,deep-research-phase-plan/phase-02-architecture-internal-linking/day-12.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-12.md` exactly as written. Your goal is: Specify Browser hub implementation. Produce this outcome: An approved implementation or hold decision with exact affected paths. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,An approved implementation or hold decision with exact affected paths
P02-D13,02,13,Validate the architecture plan,deep-research-phase-plan/phase-02-architecture-internal-linking/day-13.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-13.md` exactly as written. Your goal is: Validate the architecture plan. Produce this outcome: A link-graph and UX review showing every priority page has a crawlable hub path and useful return path. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A link-graph and UX review showing every priority page has a crawlable hub path and useful return path
P02-D14,02,14,Publish the Phase 02 handoff,deep-research-phase-plan/phase-02-architecture-internal-linking/day-14.md,deep-research-phase-plan/phase-02-architecture-internal-linking.md,"Execute `deep-research-phase-plan/phase-02-architecture-internal-linking/day-14.md` exactly as written. Your goal is: Publish the Phase 02 handoff. Produce this outcome: A frozen architecture packet that Phase 03 can use for contextual copy and links. Read `deep-research-phase-plan/phase-02-architecture-internal-linking.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A frozen architecture packet that Phase 03 can use for contextual copy and links
P03-D01,03,01,Inventory repeated content patterns,deep-research-phase-plan/phase-03-content-differentiation/day-01.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-01.md` exactly as written. Your goal is: Inventory repeated content patterns. Produce this outcome: A quoted-and-located boilerplate inventory across priority PDF and developer pages. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A quoted-and-located boilerplate inventory across priority PDF and developer pages
P03-D02,03,02,Create the accuracy fact sheet,deep-research-phase-plan/phase-03-content-differentiation/day-02.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-02.md` exactly as written. Your goal is: Create the accuracy fact sheet. Produce this outcome: A per-tool fact matrix for formats, limits, processing location, network behavior, and known errors. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A per-tool fact matrix for formats, limits, processing location, network behavior, and known errors"
P03-D03,03,03,Prioritize the first 20 rewrites,deep-research-phase-plan/phase-03-content-differentiation/day-03.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-03.md` exactly as written. Your goal is: Prioritize the first 20 rewrites. Produce this outcome: An evidence-ranked queue of up to ten PDF and ten developer pages. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,An evidence-ranked queue of up to ten PDF and ten developer pages
P03-D04,03,04,Write the content component specification,deep-research-phase-plan/phase-03-content-differentiation/day-04.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-04.md` exactly as written. Your goal is: Write the content component specification. Produce this outcome: A reusable but non-boilerplate brief for intro, example, mechanics, limits, privacy, errors, and next-step links. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A reusable but non-boilerplate brief for intro, example, mechanics, limits, privacy, errors, and next-step links"
P03-D05,03,05,Brief PDF merge and split workflows,deep-research-phase-plan/phase-03-content-differentiation/day-05.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-05.md` exactly as written. Your goal is: Brief PDF merge and split workflows. Produce this outcome: Implementation-ready briefs for Merge PDF and Split PDF with verified examples and constraints. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,Implementation-ready briefs for Merge PDF and Split PDF with verified examples and constraints
P03-D06,03,06,Brief PDF compression and organization,deep-research-phase-plan/phase-03-content-differentiation/day-06.md,deep-research-phase-plan/phase-03-content-differentiation.md,"Execute `deep-research-phase-plan/phase-03-content-differentiation/day-06.md` exactly as written. Your goal is: Brief PDF compression and organization. Produce this outcome: Implementation-ready briefs for Compress/Optimize and Organize PDF without promising unmeasured savings. Read `deep-research-phase-plan/phase-03-content-differentiation.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,Implementation-ready briefs for Compress/Optimize and Organize PDF without promising unmeasured savings
